replicas,load_pct,aggregate_bw_gbps,latency_cycles,requested_request_gbps_per_node,request_gbps,response_gbps,label,log_path
1,20,58.48778,989.2768749999999,5.88,47.07307,11.4147,iter07,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_iter07_bw05p88.out
1,20,59.0641,972.1715,5.94,47.54037,11.52372,iter02,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_iter02_bw05p94.out
1,20,59.15052,976.376625,5.95,47.6071,11.5434,iter08,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_iter08_bw05p95.out
1,20,59.184889999999996,976.2275000000001,5.95,47.63631,11.54856,iter13,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_iter13_bw05p95.out
1,20,59.2707,983.0753749999999,5.96,47.70568,11.56501,iter10,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_iter10_bw05p96.out
1,20,59.29683,1000.0822499999999,5.97,47.72732,11.56952,iter14,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_iter14_bw05p97.out
1,20,59.34048,1026.39875,5.97,47.76067,11.57981,iter12,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_iter12_bw05p97.out
1,20,59.36649,1043.6237499999997,5.97,47.78221,11.58429,iter06,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_iter06_bw05p97.out
1,20,59.55402,1172.4125000000001,5.99,47.93585,11.61814,iter11,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_iter11_bw05p99.out
1,20,59.64369,1238.71625,6.0,48.00689,11.636800000000001,iter09,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load020_iter09_bw06p00.out
